Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,X244
270670305000021,1,302,299,284,15,0,203,3,54,4,35,0,289,0,0,10,291,2,3,286,0,0,0,8,288,217,58,9,4,0,0,0,0,0,11,299,297,2,0,0,0,0,0,291,291,0,8,241,16,34,24,39,81,68,43,20,12,7,0,5,20,17,26,58,53,34,12,18,14,1,1,1,0,0,0,25,23,15,4,0,0,13,23,15,9,8,6,10,10,4,5,1,1,0,3,6,1,0,0,0,202,3,49,2,28,0,274,0,0,10,276,2,3,271,0,0,0,8,273,202,58,9,4,11,284,282,2,0,0,0,0,0,276,276,0,8,235,11,30,1,0,5,2,7,0,15,0,0,0,15,0,0,15,0,0,0,0,15,15,0,0,0,0,15,15,0,0,0,0,0,0,15,15,0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,10,291,2,3,286,0,0,0,8,288,0,0,0,0,0,0,0,0,0,0,0,0,NA
270670305000022,1,402,401,398,3,0,280,2,98,1,17,3,380,0,1,20,400,3,2,373,22,0,0,1,393,356,37,0,0,0,0,0,0,0,8,395,320,75,1,0,4,1,0,386,386,0,15,341,41,4,34,73,87,96,60,29,9,10,2,1,41,22,37,52,67,32,21,10,16,3,2,0,1,0,0,34,20,14,6,1,1,36,35,29,28,8,12,18,21,13,9,3,0,0,15,7,1,0,0,0,280,2,95,1,17,3,377,0,1,20,397,3,2,370,22,0,0,1,390,353,37,0,0,8,392,317,75,1,0,4,1,0,383,383,0,15,341,38,4,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,1,18,394,3,2,368,21,0,0,1,388,4,0,0,2,6,0,0,5,1,0,0,0,NA
270670305000023,1,247,246,241,3,0,179,0,49,0,18,0,246,0,0,0,245,3,8,192,42,0,0,1,243,177,59,6,1,0,0,0,0,0,3,245,245,0,0,0,0,1,0,244,244,0,2,232,11,1,17,51,56,60,30,22,5,2,1,2,21,6,27,38,30,15,14,4,6,0,0,0,0,0,0,27,20,8,5,2,1,24,18,30,15,8,6,11,18,7,7,1,0,0,6,1,3,0,0,0,179,0,45,0,17,0,241,0,0,0,240,3,8,187,42,0,0,1,240,174,59,6,1,1,240,240,0,0,0,0,1,0,240,240,0,1,229,10,1,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,244,3,8,191,42,0,0,1,242,1,0,0,0,1,0,0,1,0,0,0,0,NA
270670305000024,1,200,200,200,0,0,97,52,24,2,25,0,200,0,0,0,199,1,25,169,0,0,4,1,198,146,47,3,2,0,0,0,0,0,2,200,200,0,0,0,0,0,0,200,200,0,0,192,6,2,15,36,44,53,31,17,1,1,2,0,19,4,16,29,35,18,9,3,4,0,0,0,0,0,0,16,12,8,6,0,0,20,15,18,13,8,1,11,15,7,3,1,1,0,5,2,1,0,0,0,97,52,24,2,25,0,200,0,0,0,199,1,25,169,0,0,4,1,198,146,47,3,2,2,200,200,0,0,0,0,0,0,200,200,0,0,192,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,199,1,25,169,0,0,4,1,198,0,0,0,0,0,0,0,0,0,0,0,0,NA
270670305000025,1,321,321,317,4,0,154,105,35,1,23,3,318,0,0,3,321,30,169,115,1,2,4,0,320,194,108,18,0,0,0,0,0,0,1,319,247,72,2,0,0,0,0,320,320,0,1,317,2,1,16,42,85,85,64,19,4,5,0,1,27,6,11,40,30,18,8,1,4,1,1,0,0,0,0,10,17,9,3,0,0,31,45,55,46,11,9,12,24,19,12,5,0,0,7,6,1,1,0,0,153,105,32,1,23,3,314,0,0,3,317,30,169,111,1,2,4,0,316,190,108,18,0,1,315,244,71,2,0,0,0,0,316,316,0,1,313,2,1,1,0,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,4,0,0,0,0,4,3,1,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,3,319,30,169,113,1,2,4,0,318,2,0,0,0,2,0,0,2,0,0,0,0,NA
270670305000026,1,336,335,335,0,0,251,6,58,3,17,0,335,0,0,0,335,176,54,102,0,3,0,0,335,226,93,14,2,0,0,0,0,0,0,334,325,9,0,0,0,0,1,331,331,0,4,309,20,2,31,51,77,75,55,23,12,5,4,2,41,14,18,37,44,35,16,9,13,1,0,0,0,0,0,17,19,10,6,1,0,33,40,31,20,7,14,18,22,14,8,0,0,0,11,8,2,2,0,0,251,6,58,3,17,0,335,0,0,0,335,176,54,102,0,3,0,0,335,226,93,14,2,0,334,325,9,0,0,0,0,1,331,331,0,4,309,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,334,176,54,101,0,3,0,0,334,1,0,0,0,1,0,0,1,0,0,0,0,NA
270670305000027,1,431,431,424,6,0,314,3,98,0,16,0,431,0,0,0,429,16,11,402,0,0,0,2,427,303,104,15,2,2,1,0,0,0,4,431,431,0,0,0,0,0,0,431,431,0,0,407,24,0,39,85,99,103,52,24,10,6,5,8,43,21,33,59,70,37,12,20,20,0,1,0,0,0,0,33,25,15,5,0,1,52,40,33,15,12,9,19,36,12,8,1,1,0,16,6,1,1,0,0,313,3,92,0,16,0,424,0,0,0,422,16,6,400,0,0,0,2,421,302,99,15,5,3,424,424,0,0,0,0,0,0,424,424,0,0,401,23,0,0,0,6,0,0,0,6,0,0,0,6,0,5,1,0,0,0,0,6,1,5,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,429,16,11,402,0,0,0,2,427,0,0,0,0,0,0,0,0,0,0,0,0,NA
270670305000028,1,326,326,324,2,0,295,0,24,0,7,0,323,2,0,1,326,12,1,311,0,1,1,0,323,312,11,0,0,0,0,0,0,0,3,326,7,319,0,0,0,0,0,325,325,0,1,321,4,0,33,51,82,54,51,26,13,3,5,8,30,22,31,53,35,33,15,15,19,1,1,1,0,0,0,30,20,9,2,3,0,20,29,19,18,11,14,14,12,5,4,2,0,0,8,6,2,0,0,0,294,0,23,0,7,0,321,2,0,1,324,12,1,309,0,1,1,0,323,312,11,0,0,1,324,7,317,0,0,0,0,0,323,323,0,1,321,2,0,1,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,2,0,1,326,12,1,311,0,1,1,0,323,0,0,0,0,0,0,0,0,0,0,0,0,NA
270670305000029,1,333,311,311,0,0,265,8,27,2,9,0,304,0,0,7,311,2,14,291,0,0,4,0,307,242,36,16,9,2,1,0,0,1,4,308,308,0,2,0,1,0,0,309,309,0,2,283,25,1,22,45,68,79,39,30,15,9,3,1,22,17,21,38,51,25,20,15,14,1,2,0,0,0,0,20,19,8,2,2,0,24,30,28,14,10,13,8,17,7,2,3,1,0,7,4,2,0,1,0,265,8,27,2,9,0,304,0,0,7,311,2,14,291,0,0,4,0,307,242,36,16,13,4,308,308,0,2,0,1,0,0,309,309,0,2,283,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,7,308,2,13,289,0,0,4,0,304,3,0,0,0,3,0,1,2,0,0,0,0,NA
270670305000030,1,381,381,381,0,0,297,2,45,2,35,0,374,0,0,7,378,21,51,301,4,0,1,3,362,342,15,5,0,0,0,0,0,0,19,379,378,1,1,0,0,0,1,380,379,1,1,367,10,2,31,68,76,93,51,29,17,10,2,4,33,28,37,46,56,38,11,21,22,4,2,0,0,0,0,33,21,10,7,0,1,31,30,37,13,18,12,9,17,5,7,0,0,1,14,9,1,0,0,0,297,2,45,2,35,0,374,0,0,7,378,21,51,301,4,0,1,3,362,342,15,5,0,19,379,378,1,1,0,0,0,1,380,379,1,1,367,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,7,376,21,51,299,4,0,1,3,360,2,0,0,0,2,0,0,2,0,0,0,0,NA
270670305000031,1,317,317,311,6,0,205,1,72,0,39,0,315,0,0,2,299,32,1,266,0,0,0,18,287,270,16,1,0,0,0,0,0,0,30,316,4,312,1,0,0,0,0,316,316,0,1,277,38,1,37,55,55,75,40,25,20,5,4,1,30,28,20,29,51,26,11,15,22,5,1,0,0,0,0,15,13,12,5,2,0,35,26,24,14,14,15,15,25,8,1,0,0,0,10,1,3,1,0,0,204,1,67,0,39,0,309,0,0,2,293,32,1,260,0,0,0,18,285,268,16,1,0,26,310,4,306,1,0,0,0,0,310,310,0,1,275,34,1,1,0,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,2,2,0,0,0,4,6,0,6,0,0,0,0,0,6,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,2,298,32,1,265,0,0,0,18,287,1,0,0,0,1,0,0,1,0,0,0,0,NA
270670305000032,1,323,323,323,0,0,242,2,58,0,21,0,299,1,0,23,300,9,1,201,58,31,0,23,295,274,18,3,0,0,0,0,0,0,28,319,285,34,1,0,1,2,0,320,313,7,3,289,20,4,26,37,87,60,53,25,19,7,3,6,21,19,13,37,25,18,9,8,14,5,0,0,0,0,0,8,15,2,0,0,0,24,50,35,35,16,27,12,20,15,14,4,1,0,4,4,0,1,0,0,242,2,58,0,21,0,299,1,0,23,300,9,1,201,58,31,0,23,295,274,18,3,0,28,319,285,34,1,0,1,2,0,320,313,7,3,289,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,23,297,9,1,200,57,30,0,22,292,3,1,0,0,3,0,0,1,1,1,0,1,NA
270670305000033,1,340,340,337,3,0,258,4,51,2,25,0,331,1,1,7,339,6,4,324,2,1,2,1,335,292,39,4,0,0,0,0,0,0,5,340,337,3,0,0,0,0,0,337,335,2,3,330,4,1,28,61,75,68,65,20,14,4,3,2,28,18,34,57,46,46,13,10,17,1,0,0,0,0,0,33,20,12,4,0,0,27,18,22,19,7,13,11,18,3,6,0,1,0,9,5,3,0,0,0,258,4,48,2,25,0,328,1,1,7,336,6,4,321,2,1,2,1,332,289,39,4,0,5,337,334,3,0,0,0,0,0,334,332,2,3,327,4,1,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,1,1,7,339,6,4,324,2,1,2,1,335,0,0,0,0,0,0,0,0,0,0,0,0,NA
270670305000034,1,490,490,478,11,0,326,39,102,0,23,0,430,3,0,57,483,6,64,390,0,0,23,7,432,389,37,4,2,0,0,0,0,0,58,482,482,0,1,0,7,0,0,484,483,1,6,458,16,9,42,87,109,123,50,46,13,10,5,5,33,33,52,77,83,35,30,20,28,5,0,0,0,0,0,47,37,16,8,2,0,35,32,40,15,16,13,14,24,16,8,3,1,0,11,3,4,0,1,0,323,39,93,0,23,0,418,3,0,57,471,5,64,379,0,0,23,7,423,380,37,4,2,55,470,470,0,1,0,7,0,0,472,471,1,6,456,7,8,2,0,9,0,0,0,11,0,0,0,11,1,0,10,0,0,0,0,9,9,0,0,0,2,11,11,0,0,0,0,0,0,11,11,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,3,0,52,477,6,64,386,0,0,21,5,429,3,0,0,5,6,0,0,4,0,0,2,2,NA
270670305000035,5,167,167,167,0,0,144,1,9,2,11,0,141,15,0,11,148,1,0,147,0,0,0,19,129,124,4,0,1,0,0,0,0,0,38,83,83,0,72,4,5,1,2,162,162,0,5,155,1,6,12,32,45,40,18,8,7,2,0,3,13,6,16,26,27,11,4,7,6,0,0,0,0,0,0,16,9,9,0,0,0,16,19,13,7,4,5,6,11,10,1,1,0,0,5,0,2,0,0,0,144,1,9,2,11,0,141,15,0,11,148,1,0,147,0,0,0,19,129,124,4,0,1,38,83,83,0,72,4,5,1,2,162,162,0,5,155,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,5,73,0,0,73,0,0,0,10,66,63,15,0,6,75,1,0,74,0,0,0,9,NA
270670305000036,5,160,160,160,0,0,148,1,6,0,5,0,158,0,2,0,159,0,152,3,0,0,4,1,150,147,3,0,0,0,0,0,0,0,10,156,2,154,3,0,1,0,0,160,160,0,0,157,1,2,18,25,39,30,23,8,8,6,0,3,13,13,14,32,21,16,5,11,10,2,1,0,0,0,0,12,14,3,2,0,0,11,7,9,7,3,6,8,8,4,1,0,0,0,3,1,1,0,0,0,148,1,6,0,5,0,158,0,2,0,159,0,152,3,0,0,4,1,150,147,3,0,0,10,156,2,154,3,0,1,0,0,160,160,0,0,157,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,156,0,152,1,0,0,3,0,148,2,0,2,0,3,0,0,2,0,0,1,1,NA
270670305000037,5,205,205,205,0,0,170,1,9,2,23,0,197,3,1,4,194,0,35,143,12,3,1,11,180,162,16,1,0,1,0,0,0,0,25,171,24,147,28,1,4,0,1,201,201,0,4,181,7,13,16,29,51,50,29,14,5,3,3,5,11,13,21,38,40,24,12,16,12,0,1,0,0,0,0,21,14,9,3,1,0,8,13,10,5,2,0,4,3,4,1,0,0,0,5,0,2,0,0,0,170,1,9,2,23,0,197,3,1,4,194,0,35,143,12,3,1,11,180,162,16,1,1,25,171,24,147,28,1,4,0,1,201,201,0,4,181,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,1,0,1,163,0,29,123,7,3,1,8,155,28,2,1,3,31,0,6,20,5,0,0,3,NA
270670305000038,4,275,274,274,0,0,234,2,12,0,26,0,252,5,1,16,248,0,1,228,2,0,17,26,227,211,15,1,0,0,0,0,0,0,47,213,8,205,47,0,11,1,2,259,259,0,15,213,11,35,32,39,50,53,36,34,12,9,4,5,22,22,23,35,39,27,25,21,18,3,1,0,0,0,0,20,13,9,1,1,0,16,15,14,9,9,9,14,13,4,1,0,0,0,3,2,1,1,1,0,234,2,12,0,26,0,252,5,1,16,248,0,1,228,2,0,17,26,227,211,15,1,0,47,213,8,205,47,0,11,1,2,259,259,0,15,213,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,3,0,11,197,0,0,184,1,0,12,16,183,53,2,1,5,51,0,1,44,1,0,5,10,NA
270670305000039,8,82,76,76,0,0,28,4,0,7,37,0,25,16,1,34,64,0,0,61,0,0,3,12,56,54,1,0,1,0,0,0,0,0,20,8,7,1,53,3,6,0,6,71,71,0,5,44,18,9,11,10,13,17,13,5,4,1,1,1,4,10,8,10,11,6,4,4,9,1,0,0,0,0,0,7,4,2,0,0,0,2,3,6,7,1,3,2,1,1,1,0,0,0,1,1,0,0,0,0,28,4,0,7,37,0,25,16,1,34,64,0,0,61,0,0,3,12,56,54,1,0,1,20,8,7,1,53,3,6,0,6,71,71,0,5,44,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,7,0,0,6,0,0,1,1,7,23,11,1,33,57,0,0,55,0,0,2,11,NA
270670305000040,8,110,107,107,0,0,86,0,1,11,8,1,54,20,0,33,76,1,16,52,0,0,7,31,65,58,7,0,0,0,0,0,0,0,42,6,0,6,94,4,2,0,1,106,103,3,1,100,0,3,7,15,22,23,21,9,7,3,0,0,6,5,12,21,19,20,9,9,3,2,0,0,0,0,0,10,7,8,4,1,1,3,1,4,1,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,86,0,1,11,8,1,54,20,0,33,76,1,16,52,0,0,7,31,65,58,7,0,0,42,6,0,6,94,4,2,0,1,106,103,3,1,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,6,0,2,4,0,0,0,0,4,53,17,0,31,70,1,14,48,0,0,7,31,NA
270670305000041,8,271,270,270,0,0,248,2,3,1,15,1,221,35,4,10,270,1,5,194,15,1,54,0,174,170,4,0,0,0,0,0,0,0,96,89,89,0,142,11,28,0,0,266,265,1,4,220,1,44,11,41,55,78,46,22,11,4,2,0,15,11,31,50,70,43,21,14,4,5,2,0,0,0,0,26,27,8,2,2,0,10,5,8,3,1,3,7,5,2,5,0,0,0,5,2,1,0,0,0,248,2,3,1,15,1,221,35,4,10,270,1,5,194,15,1,54,0,174,170,4,0,0,96,89,89,0,142,11,28,0,0,266,265,1,4,220,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,7,0,0,89,1,2,76,3,0,7,0,79,139,28,4,10,181,0,3,118,12,1,47,0,NA
270670305000042,5,180,179,179,0,0,165,0,7,0,7,0,177,0,0,2,179,2,0,166,0,0,11,0,162,160,1,1,0,0,0,0,0,0,17,154,153,1,22,0,0,0,3,173,171,2,6,157,1,13,10,25,53,35,28,12,10,2,1,3,7,12,16,41,30,21,11,16,9,2,1,0,0,0,0,14,20,5,1,0,1,9,12,5,7,1,0,1,8,3,2,1,0,0,1,4,1,0,0,0,165,0,7,0,7,0,177,0,0,2,179,2,0,166,0,0,11,0,162,160,1,1,0,17,154,153,1,22,0,0,0,3,173,171,2,6,157,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,2,154,0,0,147,0,0,7,0,141,25,0,0,0,25,2,0,19,0,0,4,0,NA
270670305000043,8,182,178,177,1,0,167,0,2,4,5,0,165,5,0,8,178,7,0,164,5,0,2,0,172,169,2,0,1,0,0,0,0,0,6,1,1,0,176,0,0,0,1,176,173,3,2,167,2,4,16,23,37,47,30,7,7,5,4,2,6,14,20,34,43,29,7,18,12,1,0,1,0,0,0,19,15,7,2,0,1,3,3,4,1,0,0,4,2,1,2,1,0,0,1,1,0,0,0,0,166,0,2,4,5,0,164,5,0,8,177,7,0,163,5,0,2,0,171,168,2,0,1,6,0,0,0,176,0,0,0,1,175,172,3,2,166,2,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,164,5,0,8,177,7,0,163,5,0,2,0,NA
